Date,,,,Close
2015/12/31,,,,22.6
2016/1/29,,,,21.290001
2016/2/29,,,,20.9
2016/3/31,,,,21.469999
2016/4/29,,,,21.181
2016/5/31,,,,21.790001
2016/6/30,,,,21.572001
2016/7/29,,,,22.504999
2016/8/31,,,,22.221001
2016/9/30,,,,21.84
2016/10/31,,,,20.709999
2016/11/30,,,,23.101
2016/12/30,,,,23.209999
2017/1/31,,,,23.362
2017/2/28,,,,23.881001
2017/3/31,,,,23.6
2017/4/28,,,,24.1
2017/5/31,,,,23.58
2017/6/30,,,,24.094999
2017/7/31,,,,23.790001
2017/8/31,,,,22.877001
2017/9/29,,,,24.219999
2017/10/31,,,,25.200001
2017/11/30,,,,25.43
2017/12/29,,,,25.131001
2018/1/31,,,,25.929001
2018/2/28,,,,24.690001
2018/3/29,,,,24.280001
2018/4/30,,,,24.033001
2018/5/31,,,,24.801001
2018/6/29,,,,24.309999
2018/7/31,,,,24.742001
2018/8/31,,,,25.254
2018/9/28,,,,24.375999
2018/10/31,,,,22.23
2018/11/30,,,,22.108999
2018/12/31,,,,21.145
